State/Union Territory,Literacy Rate (%)
Andaman and Nicobar Islands,86.63
Andhra Pradesh,67.02
Arunachal Pradesh,65.38
Assam,72.19
Bihar,61.8
Chhattisgarh,70.28
Chandigarh,86.05
Dadra and Nagar Haveli,76.34
Daman & Diu,87.1
Delhi,86.21
Goa,88.7
Gujarat,78.03
Haryana,75.55
Himachal Pradesh,82.8
Jammu and Kashmir,67.16
Jharkhand,66.41
Karnataka,75.36
Kerala,94.0
Lakshadweep,91.85
Madhya Pradesh,69.32
Maharashtra,82.34
Manipur,76.94
Meghalaya,74.43
Mizoram,91.33
Nagaland,79.55
Odisha,72.87
Puducherry,85.85
Punjab,75.84
Rajasthan,66.11
Sikkim,81.42
Tamil Nadu,80.09
Telangana,72.8
Tripura,87.22
Uttarakhand,78.82
Uttar Pradesh,67.68
West Bengal,76.36
