,state,GDP
0,Maharashtra,"3,10,80,218.70"
1,Tamil Nadu,"2,07,12,861.60"
2,Gujarat,"1,97,70,664.60"
3,Uttar Pradesh,"1,97,45,315.50"
4,Karnataka,"1,96,27,254.20"
5,West Bengal,"1,36,39,258.60"
6,Rajasthan,"1,21,81,934.50"
7,Madhya Pradesh,"1,13,61,371.90"
8,Andhra Pradesh,"1,13,38,365.00"
9,Telangana,"1,12,89,072.40"
10,Kerala,"93,24,699.60"
11,Delhi,"90,46,420.40"
12,Haryana,"87,06,645.30"
13,Odisha,"67,08,812.30"
14,Bihar,"65,03,024.30"
15,Punjab,"61,42,267.60"
16,Assam,"41,26,118.70"
17,Chhattisgarh,"40,64,158.20"
18,Jharkhand,"35,88,625.90"
19,Uttarakhand,"27,21,594.80"
20,Jammu and Kashmir,"19,99,174.20"
21,Himachal Pradesh,"17,62,694.70"
22,Goa,"8,26,037.00"
23,Tripura,"6,25,504.40"
24,Chandigarh,"4,56,352.60"
25,Puducherry,"4,42,378.60"
26,Meghalaya,"3,87,847.00"
27,Sikkim,"3,75,574.00"
28,Manipur,"3,65,944.70"
29,Arunachal Pradesh,"3,51,235.40"
30,Nagaland,"3,19,125.40"
31,Mizoram,"2,78,235.00"
32,Andaman and Nicobar Islands,"1,03,705.20"
